År;Församlings-kod;Kommun;Församling;Summa, inkl. kyrkoavgift;Summa, exkl. kyrkoavgift;Kommunal-skatt;Landstings-skatt;Begravnings-avgift;Kyrkoavgift
2017;01 14  01;UPPLANDS VÄSBY;EDS FÖRSAMLING;32.731;31.846;19.52;12.08;0.246;0.885
2017;01 14  02;UPPLANDS VÄSBY;HAMMARBY FÖRSAMLING;32.681;31.846;19.52;12.08;0.246;0.835
2017;01 14  03;UPPLANDS VÄSBY;FRESTA FÖRSAMLING;32.641;31.846;19.52;12.08;0.246;0.795
2017;01 15  01;VALLENTUNA;VALLENTUNA FÖRSAMLING;32.161;31.326;19.00;12.08;0.246;0.835
2017;01 15  07;VALLENTUNA;ÖSSEBY FÖRSAMLING;32.466;31.326;19.00;12.08;0.246;1.14
2017;01 17  02;ÖSTERÅKER;ÖSTERÅKER-ÖSTRA RYDS FÖRSAMLING;30.811;30.076;17.75;12.08;0.246;0.735
2017;01 17  03;ÖSTERÅKER;LJUSTERÖ-KULLA FÖRSAMLING;31.131;30.076;17.75;12.08;0.246;1.055
2017;01 20  01;VÄRMDÖ;VÄRMDÖ FÖRSAMLING;32.371;31.506;19.18;12.08;0.246;0.865
2017;01 20  03;VÄRMDÖ;DJURÖ, MÖJA OCH NÄMDÖ FÖRSAMLING;32.671;31.506;19.18;12.08;0.246;1.165
2017;01 20  06;VÄRMDÖ;GUSTAVSBERG-INGARÖ FÖRSAMLING;32.281;31.506;19.18;12.08;0.246;0.775
2017;01 23  04;JÄRFÄLLA;JÄRFÄLLA FÖRSAMLING;32.161;31.476;19.15;12.08;0.246;0.685
2017;01 25  01;EKERÖ;ADELSÖ-MUNSÖ FÖRSAMLING;32.511;31.576;19.25;12.08;0.246;0.935
2017;01 25  03;EKERÖ;EKERÖ FÖRSAMLING;32.511;31.576;19.25;12.08;0.246;0.935
2017;01 25  04;EKERÖ;LOVÖ FÖRSAMLING;32.511;31.576;19.25;12.08;0.246;0.935
2017;01 25  09;EKERÖ;FÄRINGSÖ FÖRSAMLING;32.531;31.576;19.25;12.08;0.246;0.955
2017;01 26  01;HUDDINGE;HUDDINGE FÖRSAMLING;32.911;32.196;19.87;12.08;0.246;0.715
2017;01 26  02;HUDDINGE;TRÅNGSUND-SKOGÅS FÖRSAMLING;32.911;32.196;19.87;12.08;0.246;0.715
2017;01 26  03;HUDDINGE;S:T MIKAELS FÖRSAMLING;32.911;32.196;19.87;12.08;0.246;0.715
2017;01 26  04;HUDDINGE;FLEMINGSBERGS FÖRSAMLING;32.911;32.196;19.87;12.08;0.246;0.715
2017;01 27  01;BOTKYRKA;BOTKYRKA FÖRSAMLING;33.411;32.476;20.15;12.08;0.246;0.935
2017;01 27  02;BOTKYRKA;GRÖDINGE FÖRSAMLING;33.486;32.476;20.15;12.08;0.246;1.01
2017;01 28  01;SALEM;SALEMS FÖRSAMLING;32.835;31.996;19.67;12.08;0.246;0.839
2017;01 36  01;HANINGE;ÖSTERHANINGE FÖRSAMLING;32.851;32.006;19.68;12.08;0.246;0.845
2017;01 36  05;HANINGE;DALARÖ-ORNÖ-UTÖ FÖRSAMLING;32.871;32.006;19.68;12.08;0.246;0.865
2017;01 36  06;HANINGE;VÄSTERHANINGE-MUSKÖ FÖRSAMLING;32.781;32.006;19.68;12.08;0.246;0.775
2017;01 38  01;TYRESÖ;TYRESÖ FÖRSAMLING;32.641;31.826;19.50;12.08;0.246;0.815
2017;01 39  01;UPPLANDS-BRO;BRO FÖRSAMLING;32.866;31.926;19.60;12.08;0.246;0.94
2017;01 39  03;UPPLANDS-BRO;KUNGSÄNGEN-VÄSTRA RYDS FÖRSAMLING;32.806;31.926;19.60;12.08;0.246;0.88
2017;01 40  01;NYKVARN;TURINGE-TAXINGE FÖRSAMLING;33.366;32.296;19.97;12.08;0.246;1.07
2017;01 60  01;TÄBY;TÄBY FÖRSAMLING;30.651;29.876;17.55;12.08;0.246;0.775
