År;Församlings-kod;Kommun;Församling;Summa, inkl. kyrkoavgift;Summa, exkl. kyrkoavgift;Kommunal-skatt;Landstings-skatt;Begravnings-avgift;Kyrkoavgift
2019;01 14;UPPLANDS VÄSBY;EDS FÖRSAMLING;32.638;31.753;19.42;12.08;0.253;0.885
2019;01 14;UPPLANDS VÄSBY;FRESTA FÖRSAMLING;32.548;31.753;19.42;12.08;0.253;0.795
2019;01 14;UPPLANDS VÄSBY;HAMMARBY FÖRSAMLING;32.588;31.753;19.42;12.08;0.253;0.835
2019;01 15;VALLENTUNA;VALLENTUNA FÖRSAMLING;32.168;31.333;19.00;12.08;0.253;0.835
2019;01 15;VALLENTUNA;ÖSSEBY FÖRSAMLING;32.473;31.333;19.00;12.08;0.253;1.14
2019;01 17;ÖSTERÅKER;LJUSTERÖ-KULLA FÖRSAMLING;30.168;29.433;17.10;12.08;0.253;0.735
2019;01 17;ÖSTERÅKER;ÖSTERÅKER-ÖSTRA RYDS FÖRSAMLING;30.168;29.433;17.10;12.08;0.253;0.735
2019;01 20;VÄRMDÖ;DJURÖ, MÖJA OCH NÄMDÖ FÖRSAMLING;32.678;31.513;19.18;12.08;0.253;1.165
2019;01 20;VÄRMDÖ;GUSTAVSBERG-INGARÖ FÖRSAMLING;32.288;31.513;19.18;12.08;0.253;0.775
2019;01 20;VÄRMDÖ;VÄRMDÖ FÖRSAMLING;32.378;31.513;19.18;12.08;0.253;0.865
2019;01 23;JÄRFÄLLA;JÄRFÄLLA FÖRSAMLING;32.168;31.483;19.15;12.08;0.253;0.685
2019;01 25;EKERÖ;ADELSÖ-MUNSÖ FÖRSAMLING;32.518;31.583;19.25;12.08;0.253;0.935
2019;01 25;EKERÖ;EKERÖ FÖRSAMLING;32.518;31.583;19.25;12.08;0.253;0.935
2019;01 25;EKERÖ;FÄRINGSÖ FÖRSAMLING;32.568;31.583;19.25;12.08;0.253;0.985
2019;01 25;EKERÖ;LOVÖ FÖRSAMLING;32.518;31.583;19.25;12.08;0.253;0.935
2019;01 26;HUDDINGE;FLEMINGSBERGS FÖRSAMLING;32.918;32.203;19.87;12.08;0.253;0.715
2019;01 26;HUDDINGE;HUDDINGE FÖRSAMLING;32.918;32.203;19.87;12.08;0.253;0.715
2019;01 26;HUDDINGE;S:T MIKAELS FÖRSAMLING;32.918;32.203;19.87;12.08;0.253;0.715
2019;01 26;HUDDINGE;TRÅNGSUND-SKOGÅS FÖRSAMLING;32.918;32.203;19.87;12.08;0.253;0.715
2019;01 27;BOTKYRKA;BOTKYRKA FÖRSAMLING;33.418;32.483;20.15;12.08;0.253;0.935
2019;01 27;BOTKYRKA;GRÖDINGE FÖRSAMLING;33.493;32.483;20.15;12.08;0.253;1.01
2019;01 28;SALEM;SALEMS FÖRSAMLING;32.842;32.003;19.67;12.08;0.253;0.839
2019;01 36;HANINGE;DALARÖ-ORNÖ-UTÖ FÖRSAMLING;32.858;32.013;19.68;12.08;0.253;0.845
2019;01 36;HANINGE;VÄSTERHANINGE-MUSKÖ FÖRSAMLING;32.858;32.013;19.68;12.08;0.253;0.845
2019;01 36;HANINGE;ÖSTERHANINGE FÖRSAMLING;32.858;32.013;19.68;12.08;0.253;0.845
2019;01 38;TYRESÖ;TYRESÖ FÖRSAMLING;33.098;32.283;19.95;12.08;0.253;0.815
2019;01 39;UPPLANDS-BRO;BRO FÖRSAMLING;32.873;31.933;19.60;12.08;0.253;0.94
2019;01 39;UPPLANDS-BRO;KUNGSÄNGEN-VÄSTRA RYDS FÖRSAMLING;32.813;31.933;19.60;12.08;0.253;0.88
2019;01 40;NYKVARN;TURINGE-TAXINGE FÖRSAMLING;33.373;32.303;19.97;12.08;0.253;1.07
2019;01 60;TÄBY;TÄBY FÖRSAMLING;30.658;29.883;17.55;12.08;0.253;0.775
2019;01 62;DANDERYD;DANDERYDS FÖRSAMLING;30.608;29.883;17.55;12.08;0.253;0.725
2019;01 63;SOLLENTUNA;SOLLENTUNA FÖRSAMLING;31.248;30.453;18.12;12.08;0.253;0.795
2019;01 80;STOCKHOLM;ADOLF FREDRIKS FÖRSAMLING;30.99;29.885;17.74;12.08;0.065;1.105
2019;01 80;STOCKHOLM;BROMMA FÖRSAMLING;30.54;29.885;17.74;12.08;0.065;0.655
2019;01 80;STOCKHOLM;BRÄNNKYRKA FÖRSAMLING;30.64;29.885;17.74;12.08;0.065;0.755
2019;01 80;STOCKHOLM;ENGELBREKTS FÖRSAMLING;30.67;29.885;17.74;12.08;0.065;0.785
2019;01 80;STOCKHOLM;ENSKEDE-ÅRSTA FÖRSAMLING;30.68;29.885;17.74;12.08;0.065;0.795
2019;01 80;STOCKHOLM;FARSTA FÖRSAMLING;30.75;29.885;17.74;12.08;0.065;0.865
2019;01 80;STOCKHOLM;FINSKA FÖRSAMLINGEN;30.82;29.885;17.74;12.08;0.065;0.935
2019;01 80;STOCKHOLM;GUSTAV VASA FÖRSAMLING;30.86;29.885;17.74;12.08;0.065;0.975
2019;01 80;STOCKHOLM;HEDVIG ELEONORA FÖRSAMLING;30.62;29.885;17.74;12.08;0.065;0.735
2019;01 80;STOCKHOLM;HOVFÖRSAMLINGEN;30.685;29.885;17.74;12.08;0.065;0.80
2019;01 80;STOCKHOLM;HÄGERSTENS FÖRSAMLING;30.545;29.885;17.74;12.08;0.065;0.66
2019;01 80;STOCKHOLM;HÄSSELBY FÖRSAMLING;30.57;29.885;17.74;12.08;0.065;0.685
2019;01 80;STOCKHOLM;HÖGALIDS FÖRSAMLING;30.75;29.885;17.74;12.08;0.065;0.865
2019;01 80;STOCKHOLM;KATARINA FÖRSAMLING;30.705;29.885;17.74;12.08;0.065;0.82
2019;01 80;STOCKHOLM;MARIA MAGDALENA FÖRSAMLING;30.75;29.885;17.74;12.08;0.065;0.865
2019;01 80;STOCKHOLM;OSCARS FÖRSAMLING;30.57;29.885;17.74;12.08;0.065;0.685
2019;01 80;STOCKHOLM;SKARPNÄCKS FÖRSAMLING;30.765;29.885;17.74;12.08;0.065;0.88
2019;01 80;STOCKHOLM;SKÄRHOLMENS FÖRSAMLING;30.78;29.885;17.74;12.08;0.065;0.895
2019;01 80;STOCKHOLM;SOFIA FÖRSAMLING;30.71;29.885;17.74;12.08;0.065;0.825
2019;01 80;STOCKHOLM;SPÅNGA-KISTA FÖRSAMLING;30.66;29.885;17.74;12.08;0.065;0.775
2019;01 80;STOCKHOLM;S:T JOHANNES FÖRSAMLING;30.82;29.885;17.74;12.08;0.065;0.935
2019;01 80;STOCKHOLM;S:T MATTEUS FÖRSAMLING;30.55;29.885;17.74;12.08;0.065;0.665
2019;01 80;STOCKHOLM;STOCKHOLMS DOMKYRKOFÖRSAMLING;30.91;29.885;17.74;12.08;0.065;1.025
2019;01 80;STOCKHOLM;TYSKA S:TA GERTRUDS FÖRSAMLING;30.66;29.885;17.74;12.08;0.065;0.775
2019;01 80;STOCKHOLM;VANTÖRS FÖRSAMLING;30.63;29.885;17.74;12.08;0.065;0.745
2019;01 80;STOCKHOLM;VÄLLINGBY FÖRSAMLING;30.61;29.885;17.74;12.08;0.065;0.725
2019;01 80;STOCKHOLM;VÄSTERLEDS FÖRSAMLING;30.59;29.885;17.74;12.08;0.065;0.705
2019;01 80;STOCKHOLM;VÄSTERMALMS FÖRSAMLING;30.58;29.885;17.74;12.08;0.065;0.695
2019;01 81;SÖDERTÄLJE;ENHÖRNA FÖRSAMLING;33.373;32.483;20.15;12.08;0.253;0.89
2019;01 81;SÖDERTÄLJE;HÖLÖ-MÖRKÖ FÖRSAMLING;33.593;32.483;20.15;12.08;0.253;1.11
2019;01 81;SÖDERTÄLJE;SÖDERTÄLJE FÖRSAMLING;33.373;32.483;20.15;12.08;0.253;0.89
2019;01 81;SÖDERTÄLJE;VÅRDINGE FÖRSAMLING;33.553;32.483;20.15;12.08;0.253;1.07
2019;01 81;SÖDERTÄLJE;YTTERJÄRNA FÖRSAMLING;33.553;32.483;20.15;12.08;0.253;1.07
2019;01 81;SÖDERTÄLJE;ÖSTERTÄLJE FÖRSAMLING;33.373;32.483;20.15;12.08;0.253;0.89
2019;01 81;SÖDERTÄLJE;ÖVERJÄRNA FÖRSAMLING;33.553;32.483;20.15;12.08;0.253;1.07
2019;01 82;NACKA;BOO FÖRSAMLING;31.548;30.763;18.43;12.08;0.253;0.785
2019;01 82;NACKA;NACKA FÖRSAMLING;31.558;30.763;18.43;12.08;0.253;0.795
2019;01 82;NACKA;SALTSJÖBADENS FÖRSAMLING;31.638;30.763;18.43;12.08;0.253;0.875
2019;01 83;SUNDBYBERG;SUNDBYBERGS FÖRSAMLING;31.953;31.233;18.90;12.08;0.253;0.72
2019;01 84;SOLNA;SOLNA FÖRSAMLING;30.138;29.453;17.12;12.08;0.253;0.685
2019;01 86;LIDINGÖ;LIDINGÖ FÖRSAMLING;31.288;30.623;18.29;12.08;0.253;0.665
